136	417	Double	BitmapCache	resolution
136	418	Uint	BitmapCache	cacheFlags
137	-1	Type	TextStylePaint	-
138	-1	Type	CubicValueInterpolator	-
139	-1	Type	CubicInterpolator	-
139	63	Double	CubicInterpolator	x1
139	64	Double	CubicInterpolator	y1
139	65	Double	CubicInterpolator	x2
139	66	Double	CubicInterpolator	y2
141	-1	Type	FontAsset	-
142	-1	Type	KeyFrameString	-
142	280	String	KeyFrameString	value
144	-1	Type	TextStyleAxis	-
144	288	Double	TextStyleAxis	axisValue
144	289	Uint	TextStyleAxis	tag
145	-1	Type	AdvanceableState	-
145	292	Double	AdvanceableState	speed
147	-1	Type	Solo	-
147	296	Uint	Solo	activeComponentId
148	-1	Type	Joystick	-
148	299	Double	Joystick	x
148	300	Double	Joystick	y
148	301	Uint	Joystick	xId
148	302	Uint	Joystick	yId
148	303	Double	Joystick	posX
148	304	Double	Joystick	posY
148	305	Double	Joystick	width
148	306	Double	Joystick	height
148	307	Double	Joystick	originX
148	308	Double	Joystick	originY
148	312	Uint	Joystick	joystickFlags
148	313	Uint	Joystick	handleSourceId
158	-1	Type	TextModifierRange	-
158	316	Uint	TextModifierRange	unitsValue
158	317	Double	TextModifierRange	falloffFrom
158	318	Double	TextModifierRange	falloffTo
158	319	Double	TextModifierRange	offset
158	325	Uint	TextModifierRange	typeValue
158	326	Uint	TextModifierRange	modeValue
158	327	Double	TextModifierRange	modifyFrom
158	333	Bool	TextModifierRange	clamp
158	334	Double	TextModifierRange	strength
158	336	Double	TextModifierRange	modifyTo
158	378	Uint	TextModifierRange	runId
159	-1	Type	TextModifierGroup	-
159	322	Double	TextModifierGroup	x
159	323	Double	TextModifierGroup	y
159	324	Double	TextModifierGroup	opacity
159	328	Double	TextModifierGroup	originX
159	329	Double	TextModifierGroup	originY
159	330	Double	TextModifierGroup	scaleX
159	331	Double	TextModifierGroup	scaleY
159	332	Double	TextModifierGroup	rotation
159	335	Uint	TextModifierGroup	modifierFlags
160	-1	Type	TextModifier	-
161	-1	Type	TextShapeModifier	-
162	-1	Type	TextVariationModifier	-
162	320	Uint	TextVariationModifier	axisTag
162	321	Double	TextVariationModifier	axisValue
163	-1	Type	CubicInterpolatorComponent	-
163	337	Double	CubicInterpolatorComponent	x1
163	338	Double	CubicInterpolatorComponent	y1
163	339	Double	CubicInterpolatorComponent	x2
163	340	Double	CubicInterpolatorComponent	y2
164	-1	Type	TextStyleFeature	-
164	356	Uint	TextStyleFeature	tag
164	357	Uint	TextStyleFeature	featureValue
165	-1	Type	FollowPathConstraint	-
165	363	Double	FollowPathConstraint	distance
165	364	Bool	FollowPathConstraint	orient
165	365	Bool	FollowPathConstraint	offset
167	-1	Type	CustomProperty	-
168	-1	Type	ListenerFireEvent	-
168	389	Uint	ListenerFireEvent	eventId
169	-1	Type	StateMachineFireEvent	-
169	392	Uint	StateMachineFireEvent	eventId
170	-1	Type	InterpolatingKeyFrame	-
170	68	Uint	InterpolatingKeyFrame	interpolationType
170	69	Uint	InterpolatingKeyFrame	interpolatorId
171	-1	Type	KeyFrameCallback	-
174	-1	Type	ElasticInterpolator	-
174	405	Uint	ElasticInterpolator	easingValue
174	406	Double	ElasticInterpolator	amplitude
174	407	Double	ElasticInterpolator	period
175	-1	Type	KeyFrameInterpolator	-
406	-1	Type	AudioAsset	-
407	-1	Type	AudioEvent	-
407	408	Uint	AudioEvent	assetId
409	-1	Type	LayoutComponent	-
409	7	Double	LayoutComponent	width
409	8	Double	LayoutComponent	height
409	196	Bool	LayoutComponent	clip
409	494	Uint	LayoutComponent	styleId
409	706	Double	LayoutComponent	fractionalWidth
409	707	Double	LayoutComponent	fractionalHeight
420	-1	Type	LayoutComponentStyle	-
420	498	Double	LayoutComponentStyle	gapHorizontal
420	499	Double	LayoutComponentStyle	gapVertical
420	504	Double	LayoutComponentStyle	borderLeft
420	505	Double	LayoutComponentStyle	borderRight
420	506	Double	LayoutComponentStyle	borderTop
420	507	Double	LayoutComponentStyle	borderBottom
420	508	Double	LayoutComponentStyle	marginLeft
420	509	Double	LayoutComponentStyle	marginRight
420	510	Double	LayoutComponentStyle	marginTop
420	511	Double	LayoutComponentStyle	marginBottom
420	512	Double	LayoutComponentStyle	paddingLeft
420	513	Double	LayoutComponentStyle	paddingRight
420	514	Double	LayoutComponentStyle	paddingTop
420	515	Double	LayoutComponentStyle	paddingBottom
420	516	Double	LayoutComponentStyle	positionLeft
420	517	Double	LayoutComponentStyle	positionRight
420	518	Double	LayoutComponentStyle	positionTop
420	519	Double	LayoutComponentStyle	positionBottom
420	523	Double	LayoutComponentStyle	flexBasis
